id_mascota,nombre,especie,raza,edad_años,peso_kg,fecha_consulta,dueño_nombre,dueño_email,motivo_consulta,costo_consulta,es_outlier_peso_kg
1,Firulais,perro,Labrador,3.0,28.5,2023-03-15,Juan Pérez,juan.perez@gmail.com,Control rutinario,25000.0,False
2,FIRULAIS,perro,labrador,3.0,28.5,2023-03-15,Juan Pérez,juan.perez@gmail.com,Control rutinario,25000.0,False
3,Mishi,gato,Siamés,5.133333333333334,4.2,15/04/2023,,ana.gomez@hotmail.com,Vacunación,18000.0,False
4,Rex,perro,Pastor Alemán,7.0,350.0,2023-05-20,Carlos Muñoz,rex_owner@vet.com,Revisión general,30000.0,False
5,Pelusa,gato,Persa,2.0,3.8,20230601,María Torres,pelusa@gmail.com,Desparasitación,15000.0,False
6,,,,,,,,,,,False
7,Coco,perro,Chihuahua,1.0,2.1,2023-07-10,Roberto Lagos,coco@gmail.com,Primera consulta,20000.0,False
8,Luna,gato,Angora,5.0,4.8,2023-07-22,Claudia Vega,luna.vega@gmail.com,Revisión dental,35000.0,False
9,Toby,perro,Golden Retriever,4.0,32.1,22/08/2023,Pedro Álvarez,toby@mail.cl,Control rutinario,25000.0,False
10,Nala,gato,Doméstico,5.133333333333334,3.5,2023-09-05,Isabel Rojas,nala.rojas@gmail.com,Esterilización,80000.0,False
11,Max,perro,Bulldog,6.0,28.9,2023-09-18,Fernando Soto,max.soto@gmail.com,Vacunación,18000.0,False
12,Whiskers,gato,Maine Coon,3.0,6.2,20230930,Valentina Cruz,whiskers@gmail.com,Revisión general,25000.0,False
13,Bella,perro,Beagle,2.0,10.5,2023-10-12,Andrés Mora,bella.mora@gmail.com,Desparasitación,15000.0,False
14,Simba,gato,Bengalí,1.0,4.1,2023-10-25,Carolina Díaz,simba@mail.cl,Vacunación,18000.0,False
15,Rocky,perro,Boxer,5.0,30.2,2023-11-08,Diego Herrera,rocky@gmail.com,Control cardíaco,45000.0,False
16,Michi,gato,Doméstico,8.0,4.9,08/11/2023,Patricia Flores,michi.flores@hotmail.com,Revisión general,25000.0,False
